Price,Close,High,Low,Open,Volume,Price_USD_Ton,Precio_Interno_Teorico_USD
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F,,
Date,,,,,,,
2005-01-03,537.25,546.0,541.5,546.0,47,19738.565000000002,13224.83855
2005-01-04,529.75,536.5,535.5,536.5,54,19463.015,13040.220049999998
2005-01-05,534.0,531.5,529.5,530.0,37,19619.16,13144.837199999998
2005-01-06,541.75,536.25,534.5,534.5,35,19903.895,13335.609649999999
2005-01-07,551.75,546.5,541.0,541.0,17,20271.295000000002,13581.76765
2005-01-10,560.0,550.25,549.25,550.25,65,20574.4,13784.848
2005-01-11,557.5,562.5,559.0,559.0,10,20482.550000000003,13723.308500000001
2005-01-12,554.0,555.0,555.0,555.0,11,20353.960000000003,13637.1532
2005-01-13,557.5,553.25,553.25,553.25,10,20482.550000000003,13723.308500000001
2005-01-14,542.0,557.5,557.5,557.5,3364,19913.08,13341.7636
2005-01-18,513.5,518.5,512.5,518.0,684,18865.99,12640.2133
2005-01-19,517.75,516.0,513.75,513.75,875,19022.135000000002,12744.83045
2005-01-20,523.25,518.0,515.75,517.5,484,19224.205,12880.217349999999
2005-01-21,516.75,523.25,521.0,523.0,1279,18985.395,12720.214649999998
2005-01-24,520.0,522.25,518.5,518.5,449,19104.8,12800.215999999999
2005-01-25,526.0,521.5,517.0,519.5,570,19325.24,12947.9108
2005-01-26,523.0,527.0,524.0,526.0,406,19215.02,12874.0634
2005-01-27,515.75,522.5,520.0,522.0,859,18948.655000000002,12695.59885
2005-01-28,514.0,517.0,514.75,515.25,2050,18884.36,12652.5212
2005-01-31,514.75,511.75,509.0,510.0,604,18911.915,12670.983049999999
